date,matchup,predicted_winner,actual_winner,result
2025-10-02,Detroit Tigers @ Cleveland Guardians,Detroit Tigers,Detroit Tigers,Loss
2025-10-02,San Diego Padres @ Chicago Cubs,San Diego Padres,San Diego Padres,Loss
